sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Austria;11;AT;"Agave Fibres Nes";800;"Non edible";m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;"Almonds Shelled";231;Fruits;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;"Almonds, with shell";221;Fruits;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;"Anise, badian, fennel, corian.";711;Lux-foods;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;Apples;515;Fruits;m3/ton;67.5967025756836;67.49030303955078;67.62169647216797;69.34970092773438;65.5365982055664;48.826499938964844;38.897499084472656;90.9126968383789;49.20709991455078;72.70909881591797;71.96309661865234;110.95800018310547;79.56279754638672;132.36300659179688;76.61489868164062;142.73699951171875;127.0790023803711;102.0999984741211;82.93560028076172;106.4260025024414;145.04400634765625;64.20659637451172;139.0290069580078;86.50890350341797;162.25399780273438;129.20799255371094;187.2169952392578;119.59100341796875;159.36700439453125;34.72719955444336;444.20098876953125;264.4049987792969;229.61099243164062;149.2689971923828;169.57200622558594;168.7969970703125;213.72000122070312;162.8179931640625;207.6439971923828;147.24400329589844;243.36599731445312;135.52499389648438;188.92100524902344;137.23899841308594;180.8179931640625;161.12399291992188;155.53900146484375;173.072998046875;176.30999755859375;145.7239990234375;160.7949981689453;302.75299072265625;177.14300537109375;157.95599365234375;132.7100067138672;251.2899932861328
Austria;11;AT;Apricots;526;Fruits;m3/ton;1465.6600341796875;1820.68994140625;1455.93994140625;1292.4599609375;1136.9100341796875;1142.0699462890625;1361.31005859375;905.6430053710938;1494.1199951171875;871.5819702148438;935.2550048828125;1336.56005859375;895.4879760742188;821.3759765625;929.3829956054688;938.9550170898438;1112.43994140625;1147.260009765625;884.7020263671875;915.0880126953125;766.2589721679688;512.2880249023438;602.4019775390625;480.4410095214844;265.27801513671875;279.1650085449219;422.4590148925781;578.5609741210938;235.5469970703125;21.30739974975586;173.54100036621094;173.55099487304688;173.56199645996094;173.5709991455078;173.58099365234375;173.59100341796875;173.6020050048828;173.61000061035156;173.62100219726562;173.63099670410156;173.64199829101562;173.64999389648438;173.66099548339844;173.23199462890625;172.8070068359375;172.3820037841797;171.95899963378906;172.74000549316406;174.2779998779297;222.88900756835938;126.54499816894531;349.6390075683594;109.53099822998047;155.09100341796875;147.82899475097656;260.7959899902344
Austria;11;AT;Arecanuts;226;Fruits;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;Artichokes;366;Vegetables;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;11;AT;Asparagus;367;Vegetables;m3/ton;1601.75;1525.469970703125;1690.5400390625;1620.81005859375;1481.5799560546875;1530.06005859375;1591.7900390625;1424.719970703125;1918.6700439453125;1716.1500244140625;1716.1500244140625;1673.22998046875;1716.1500244140625;1790.780029296875;1790.780029296875;1779.72998046875;1716.1500244140625;1817.0899658203125;1817.0899658203125;1806.47998046875;1674.2900390625;1716.1500244140625;1678.02001953125;1681.1400146484375;1716.1500244140625;1683.780029296875;1700.969970703125;1716.1500244140625;1743.3900146484375;1759.0699462890625;1741.760009765625;1716.1500244140625;1641.22998046875;1750.6800537109375;1405.7900390625;1379.6500244140625;1527.3699951171875;1204.510009765625;1391.8499755859375;1102.8499755859375;1144.6700439453125;1099.5899658203125;1148.969970703125;1211.010009765625;1495.199951171875;1578.760009765625;1422.300048828125;1414.449951171875;1329.1700439453125;1745.6500244140625;1409.68994140625;1252.0899658203125;1606.72998046875;1680.6099853515625;1756.510009765625;2152.719970703125
Austria;11;AT;Avocados;572;Fruits;m3/ton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
