sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Austria;11;AT;Potatoes;116;Vegetables;m3;663364992;652232000;620958976;608916992;558739008;527984992;517296000;503419008;435115008;424881984;407019008;390167008;325424992;318123008;267091008;283368000;232679008;219939008;224368000;203191008;191866000;176463008;156904992;159719008;145792992;134718000;131913000;127997000;125214000;122760000;129180000;127692000;120170000;114944000;104500000;101791000;90740000;88335904;89596000;91748896;89375696;87056496;81641400;84741104;85753800;84725696;87643800;88127200;85893104;84930704;88324096;84191696;81665504;82655696;78726896;82024000
Austria;11;AT;"Pumpkins, squash and gourds";394;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170846;200302;235650;350558;512527;721651;866703;1169440;1279870;1328470;974913;1011270;1075150;1081040;1151740;1316690;1543500;1487540;1620090;1825750;1810940;2073980
Austria;11;AT;Tomatoes;388;Vegetables;m3;1234690;1266580;1457940;1161790;1503500;1612840;1453380;1690300;2018330;2041110;1772300;1836090;1781420;2182350;2186910;1526280;1612840;2095790;2309920;2328140;2446600;2264360;1025110;1813310;1453380;1403260;1366820;1480720;1303030;1139010;1002330;596843;692520;765417;1029670;820090;792754;660631;733525;724413;710744;769973;779085;779086;838314;861094;902099;842870;783641;797310;842870;833758;835355;859907;856536;809245
Belgium;255;BE;Apples;515;Fruits;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50223300;49658900;48530300;47373500;46831800;50223200;48530300;47966100;45708800;43451500;43620800;43745000;40065700;40065800;40065700;38739600;36629200
Belgium;255;BE;Asparagus;367;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;634683;694184;738814;793356;793356;793356;699149;773520;847904;862773;991695;991695;1487540;1814790;1983390;2370160;2841210
Belgium;255;BE;"Carrots and turnips";426;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10214100;12191000;13509000;14826900;12520500;13179500;13179500;14168000;15485900;17462800;16639100;16803900;16803900;16803900;17133400;17792300;19275000
Belgium;255;BE;Cherries;531;Fruits;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4937810;5431530;5925330;5945090;6182160;5999440;6152500;6201870;6043830;5984660;5925400;5925400;5431660;5431600;6419160;6468560;6532760
Belgium;255;BE;"Chillies and peppers, green";401;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1405480;1405480;1405480;1335210;1405480;1405480;1222770;1321160;1419540;1293050;1405480;1405480;1405480;1405480;1405480;1222770;1377370
Belgium;255;BE;"Cucumbers and gherkins";397;Vegetables;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506126;493312;544566;550972;531752;429246;544565;640665;294706;275486;416432;339553;640665;313926;333146;262673;358773
Belgium;255;BE;Grapes;560;Fruits;m3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149504;115003;115003;131104;117304;126430;138003;23000.69921875;23000.69921875;23000.69921875;52998;150117;218786;284036;365791;420824;542932
