sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Hungary;97;HU;Grapes;560;Fruits;m3/ton;651.7349853515625
Hungary;97;HU;"Lettuce and chicory";372;Vegetables;m3/ton;90.30229949951172
Hungary;97;HU;Maize;56;Cereals;m3/ton;601.5549926757812
Hungary;97;HU;"Mushrooms and truffles";449;Vegetables;m3/ton;135.16700744628906
Hungary;97;HU;"Peaches and nectarines";534;Fruits;m3/ton;738.8070068359375
Hungary;97;HU;Pears;521;Fruits;m3/ton;535.8469848632812
Hungary;97;HU;Potatoes;116;Vegetables;m3/ton;142.7740020751953
Hungary;97;HU;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;150.27999877929688
Hungary;97;HU;Tomatoes;388;Vegetables;m3/ton;45.04069900512695
Italy;106;IT;Apples;515;Fruits;m3/ton;163.46200561523438
Italy;106;IT;Asparagus;367;Vegetables;m3/ton;1085.510009765625
Italy;106;IT;"Carrots and turnips";426;Vegetables;m3/ton;97.85289764404297
Italy;106;IT;Cherries;531;Fruits;m3/ton;2257.3701171875
Italy;106;IT;"Chillies and peppers, green";401;Vegetables;m3/ton;172.1280059814453
Italy;106;IT;"Cucumbers and gherkins";397;Vegetables;m3/ton;138.07899475097656
Italy;106;IT;Grapes;560;Fruits;m3/ton;334.76800537109375
Italy;106;IT;"Lettuce and chicory";372;Vegetables;m3/ton;155.6020050048828
Italy;106;IT;Maize;56;Cereals;m3/ton;461.5790100097656
Italy;106;IT;"Mushrooms and truffles";449;Vegetables;m3/ton;76.1146011352539
Italy;106;IT;"Peaches and nectarines";534;Fruits;m3/ton;327.00299072265625
Italy;106;IT;Pears;521;Fruits;m3/ton;328.7439880371094
Italy;106;IT;Potatoes;116;Vegetables;m3/ton;147.02200317382812
Italy;106;IT;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;99.57980346679688
Italy;106;IT;Tomatoes;388;Vegetables;m3/ton;79.22930145263672
Morocco;143;MA;Apples;515;Fruits;m3/ton;1336.3199462890625
Morocco;143;MA;Asparagus;367;Vegetables;m3/ton;1873.81005859375
Morocco;143;MA;"Carrots and turnips";426;Vegetables;m3/ton;220.32000732421875
Morocco;143;MA;Cherries;531;Fruits;m3/ton;4152.3798828125
Morocco;143;MA;"Chillies and peppers, green";401;Vegetables;m3/ton;58.37889862060547
Morocco;143;MA;"Cucumbers and gherkins";397;Vegetables;m3/ton;93.98660278320312
Morocco;143;MA;Grapes;560;Fruits;m3/ton;951.6329956054688
Morocco;143;MA;"Lettuce and chicory";372;Vegetables;m3/ton;96.5
Morocco;143;MA;Maize;56;Cereals;m3/ton;4531.6298828125
Morocco;143;MA;"Mushrooms and truffles";449;Vegetables;m3/ton;84.85880279541016
Morocco;143;MA;"Peaches and nectarines";534;Fruits;m3/ton;1011.1500244140625
Morocco;143;MA;Pears;521;Fruits;m3/ton;1415.719970703125
Morocco;143;MA;Potatoes;116;Vegetables;m3/ton;115.14299774169922
Morocco;143;MA;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;63.14080047607422
Morocco;143;MA;Tomatoes;388;Vegetables;m3/ton;56.448001861572266
Netherlands;150;NL;Apples;515;Fruits;m3/ton;113.1719970703125
Netherlands;150;NL;Asparagus;367;Vegetables;m3/ton;761.0360107421875
Netherlands;150;NL;"Carrots and turnips";426;Vegetables;m3/ton;51.3473014831543
Netherlands;150;NL;Cherries;531;Fruits;m3/ton;12079.7998046875
Netherlands;150;NL;"Chillies and peppers, green";401;Vegetables;m3/ton;10.206700325012207
Netherlands;150;NL;"Cucumbers and gherkins";397;Vegetables;m3/ton;4.322619915008545
Netherlands;150;NL;Grapes;560;Fruits;m3/ton;21696.099609375
Netherlands;150;NL;"Lettuce and chicory";372;Vegetables;m3/ton;81.37190246582031
