,Years,Item Name,Country Name,Item Category,Weight_t,uWF
79,1961,Grapes,Spain,Fruits,3297995.0,2402.2900390625
80,1961,Grapes,Turkey,Fruits,3189005.0,856.3829956054688
81,1961,Lettuce and chicory,Austria,Vegetables,7666.0,132.83799743652344
82,1961,Lettuce and chicory,France,Vegetables,457999.0,163.0709991455078
83,1961,Lettuce and chicory,Germany,Vegetables,78100.0,161.9510040283203
84,1961,Lettuce and chicory,Greece,Vegetables,22120.0,192.9770050048828
85,1961,Lettuce and chicory,Hungary,Vegetables,30306.0,487.26800537109375
86,1961,Lettuce and chicory,Italy,Vegetables,608301.0,191.30999755859372
87,1961,Lettuce and chicory,Morocco,Vegetables,300.0,
88,1961,Lettuce and chicory,Netherlands,Vegetables,82909.0,98.75879669189452
89,1961,Lettuce and chicory,Portugal,Vegetables,20000.0,124.89600372314452
90,1961,Lettuce and chicory,Spain,Vegetables,421000.0,128.48300170898438
91,1961,Lettuce and chicory,Turkey,Vegetables,51000.0,152.25799560546875
92,1961,Maize,Austria,Cereals,198440.0,1021.6400146484376
93,1961,Maize,France,Cereals,2480005.0,1761.68994140625
94,1961,Maize,Germany,Cereals,26151.0,1322.5699462890625
95,1961,Maize,Greece,Cereals,228172.0,4625.58984375
96,1961,Maize,Hungary,Cereals,2736904.0,1835.1500244140625
97,1961,Maize,Italy,Cereals,3935985.0,1453.0899658203125
98,1961,Maize,Morocco,Cereals,130000.0,13254.7998046875
99,1961,Maize,Netherlands,Cereals,729.0,
100,1961,Maize,Poland,Cereals,33000.0,1422.4200439453125
101,1961,Maize,Portugal,Cereals,632016.0,5828.5400390625
102,1961,Maize,Romania,Cereals,5739607.0,2041.760009765625
103,1961,Maize,Spain,Cereals,1066800.0,2950.31005859375
104,1961,Maize,Turkey,Cereals,1017002.0,2739.10009765625
105,1961,Mushrooms and truffles,Austria,Vegetables,3000.0,137.21400451660156
106,1961,Mushrooms and truffles,France,Vegetables,32342.0,469.1799926757813
107,1961,Mushrooms and truffles,Germany,Vegetables,10530.0,137.21400451660156
108,1961,Mushrooms and truffles,Hungary,Vegetables,500.0,
109,1961,Mushrooms and truffles,Italy,Vegetables,6464.0,329.52899169921875
110,1961,Mushrooms and truffles,Morocco,Vegetables,300.0,
111,1961,Mushrooms and truffles,Netherlands,Vegetables,4000.0,137.21400451660156
112,1961,Mushrooms and truffles,Poland,Vegetables,5087.0,137.21400451660156
113,1961,Mushrooms and truffles,Spain,Vegetables,3000.0,469.1799926757813
114,1961,Peaches and nectarines,Austria,Fruits,11227.0,569.864990234375
115,1961,Peaches and nectarines,France,Fruits,325010.0,996.5009765625
116,1961,Peaches and nectarines,Germany,Fruits,37708.0,996.5009765625
117,1961,Peaches and nectarines,Greece,Fruits,87060.0,2655.6201171875
118,1961,Peaches and nectarines,Hungary,Fruits,43900.0,359.7770080566406
119,1961,Peaches and nectarines,Italy,Fruits,1015000.0,569.864990234375
120,1961,Peaches and nectarines,Morocco,Fruits,1200.0,
121,1961,Peaches and nectarines,Netherlands,Fruits,895.0,
122,1961,Peaches and nectarines,Portugal,Fruits,40458.0,702.1300048828125
123,1961,Peaches and nectarines,Romania,Fruits,7700.0,359.7770080566406
124,1961,Peaches and nectarines,Spain,Fruits,118000.0,605.6790161132812
125,1961,Peaches and nectarines,Turkey,Fruits,98100.0,412.6390075683594
126,1961,Pears,Austria,Fruits,318999.0,19.30500030517578
127,1961,Pears,France,Fruits,333001.0,518.8330078125
128,1961,Pears,Germany,Fruits,398001.0,211.4750061035156
129,1961,Pears,Greece,Fruits,94000.0,687.2349853515625
