sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Greece;84;GR;Bananas;486;Fruits;m3/ton;259.5450134277344
Greece;84;GR;"Carrots and turnips";426;Vegetables;m3/ton;159.0780029296875
Greece;84;GR;"Cocoa beans";661;Lux-foods;m3/ton;0
Greece;84;GR;Coconuts;249;Fruits;m3/ton;0
Greece;84;GR;Dates;577;Fruits;m3/ton;0
Greece;84;GR;Grapes;560;Fruits;m3/ton;407.8179931640625
Greece;84;GR;"Lemons and limes";497;Fruits;m3/ton;600.2919921875
Greece;84;GR;"Lettuce and chicory";372;Vegetables;m3/ton;242.0590057373047
Greece;84;GR;Maize;56;Cereals;m3/ton;505.5840148925781
Greece;84;GR;"Mushrooms and truffles";449;Vegetables;m3/ton;76.1146011352539
Greece;84;GR;Olives;260;Fruits;m3/ton;1792.800048828125
Greece;84;GR;"Onions (inc. shallots), green";402;Vegetables;m3/ton;163.30499267578125
Greece;84;GR;Pineapples;574;Fruits;m3/ton;0
Greece;84;GR;Potatoes;116;Vegetables;m3/ton;153.94900512695312
Greece;84;GR;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;2015.699951171875
Greece;84;GR;"Rice, paddy";27;Cereals;m3/ton;792.968017578125
Greece;84;GR;Strawberries;544;Fruits;m3/ton;156.1820068359375
Greece;84;GR;Tomatoes;388;Vegetables;m3/ton;52.9557991027832
Italy;106;IT;"Almonds, with shell";221;Fruits;m3/ton;4813.2998046875
Italy;106;IT;Apples;515;Fruits;m3/ton;163.46200561523438
Italy;106;IT;Avocados;572;Fruits;m3/ton;0
Italy;106;IT;Bananas;486;Fruits;m3/ton;341.1000061035156
Italy;106;IT;"Carrots and turnips";426;Vegetables;m3/ton;97.85289764404297
Italy;106;IT;"Cocoa beans";661;Lux-foods;m3/ton;0
Italy;106;IT;Coconuts;249;Fruits;m3/ton;0
Italy;106;IT;Dates;577;Fruits;m3/ton;0
Italy;106;IT;Grapes;560;Fruits;m3/ton;334.76800537109375
Italy;106;IT;"Lemons and limes";497;Fruits;m3/ton;366.4930114746094
Italy;106;IT;"Lettuce and chicory";372;Vegetables;m3/ton;155.6020050048828
Italy;106;IT;Maize;56;Cereals;m3/ton;461.5790100097656
Italy;106;IT;"Mushrooms and truffles";449;Vegetables;m3/ton;76.1146011352539
Italy;106;IT;Olives;260;Fruits;m3/ton;3041.39990234375
Italy;106;IT;"Onions (inc. shallots), green";402;Vegetables;m3/ton;0
Italy;106;IT;Pineapples;574;Fruits;m3/ton;0
Italy;106;IT;Potatoes;116;Vegetables;m3/ton;147.02200317382812
Italy;106;IT;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;99.57980346679688
Italy;106;IT;"Rice, paddy";27;Cereals;m3/ton;932.1680297851562
Italy;106;IT;Strawberries;544;Fruits;m3/ton;157.0919952392578
Italy;106;IT;Tomatoes;388;Vegetables;m3/ton;79.22930145263672
Morocco;143;MA;"Almonds, with shell";221;Fruits;m3/ton;6917.97998046875
Morocco;143;MA;Apples;515;Fruits;m3/ton;1336.3199462890625
Morocco;143;MA;Avocados;572;Fruits;m3/ton;517.8759765625
Morocco;143;MA;Bananas;486;Fruits;m3/ton;266.8599853515625
Morocco;143;MA;"Carrots and turnips";426;Vegetables;m3/ton;220.32000732421875
Morocco;143;MA;"Cocoa beans";661;Lux-foods;m3/ton;0
Morocco;143;MA;Coconuts;249;Fruits;m3/ton;0
Morocco;143;MA;Dates;577;Fruits;m3/ton;5597.52978515625
Morocco;143;MA;Grapes;560;Fruits;m3/ton;951.6329956054688
Morocco;143;MA;"Lemons and limes";497;Fruits;m3/ton;702.3790283203125
Morocco;143;MA;"Lettuce and chicory";372;Vegetables;m3/ton;96.5
Morocco;143;MA;Maize;56;Cereals;m3/ton;4531.6298828125
Morocco;143;MA;"Mushrooms and truffles";449;Vegetables;m3/ton;84.85880279541016
Morocco;143;MA;Olives;260;Fruits;m3/ton;4097.31982421875
Morocco;143;MA;"Onions (inc. shallots), green";402;Vegetables;m3/ton;108.94499969482422
Morocco;143;MA;Pineapples;574;Fruits;m3/ton;0
Morocco;143;MA;Potatoes;116;Vegetables;m3/ton;115.14299774169922
Morocco;143;MA;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;63.14080047607422
Morocco;143;MA;"Rice, paddy";27;Cereals;m3/ton;1131.56005859375
Morocco;143;MA;Strawberries;544;Fruits;m3/ton;137.72999572753906
Morocco;143;MA;Tomatoes;388;Vegetables;m3/ton;56.448001861572266
Netherlands;150;NL;"Almonds, with shell";221;Fruits;m3/ton;0
Netherlands;150;NL;Apples;515;Fruits;m3/ton;113.1719970703125
Netherlands;150;NL;Avocados;572;Fruits;m3/ton;0
Netherlands;150;NL;Bananas;486;Fruits;m3/ton;0
Netherlands;150;NL;"Carrots and turnips";426;Vegetables;m3/ton;51.3473014831543
Netherlands;150;NL;"Cocoa beans";661;Lux-foods;m3/ton;0
