,Years,Item Name,Country Name,Item Category,Weight_t,uWF
81,1961,"Beans, dry",Morocco,Vegetables,4700.0,1645.760009765625
82,1961,"Beans, dry",Netherlands,Vegetables,8620.0,951.177001953125
83,1961,"Beans, dry",Poland,Vegetables,18000.0,1665.050048828125
84,1961,"Beans, dry",Portugal,Vegetables,68629.0,10580.900390625
85,1961,"Beans, dry",Romania,Vegetables,134800.0,23816.900390625
86,1961,"Beans, dry",Spain,Vegetables,143000.0,3165.110107421875
87,1961,"Beans, dry",Turkey,Vegetables,134000.0,1378.050048828125
88,1961,"Beans, green",Austria,Vegetables,3229.0,231.3580017089844
89,1961,"Beans, green",France,Vegetables,51510.0,165.33399963378906
90,1961,"Beans, green",Germany,Vegetables,85742.0,267.21600341796875
91,1961,"Beans, green",Greece,Vegetables,40558.0,542.447998046875
92,1961,"Beans, green",Hungary,Vegetables,27946.0,1297.9599609375
93,1961,"Beans, green",Italy,Vegetables,218101.0,458.9119873046875
94,1961,"Beans, green",Morocco,Vegetables,9800.0,503.9620056152344
95,1961,"Beans, green",Netherlands,Vegetables,56900.0,142.90499877929688
96,1961,"Beans, green",Portugal,Vegetables,15000.0,208.34100341796875
97,1961,"Beans, green",Romania,Vegetables,19600.0,881.073974609375
98,1961,"Beans, green",Spain,Vegetables,118200.0,311.2879943847656
99,1961,"Beans, green",Turkey,Vegetables,200000.0,332.4330139160156
100,1961,Berries Nes,Austria,Fruits,1000.0,449.5499877929688
101,1961,Berries Nes,Italy,Fruits,600.0,449.5499877929688
102,1961,Berries Nes,Netherlands,Fruits,1720.0,282.9639892578125
103,1961,Berries Nes,Turkey,Fruits,85800.0,300.0369873046875
104,1961,Blueberries,France,Fruits,10000.0,247.7169952392578
105,1961,Blueberries,Italy,Fruits,525.0,247.7169952392578
106,1961,Blueberries,Poland,Fruits,15000.0,247.7169952392578
107,1961,"Brazil nuts, with shell",Morocco,Fruits,30.0,
108,1961,"Broad beans, horse beans, dry",Austria,Vegetables,1635.0,823.1519775390625
109,1961,"Broad beans, horse beans, dry",France,Vegetables,54780.0,1260.4200439453125
110,1961,"Broad beans, horse beans, dry",Germany,Vegetables,80900.0,798.031982421875
111,1961,"Broad beans, horse beans, dry",Greece,Vegetables,29620.0,2087.659912109375
112,1961,"Broad beans, horse beans, dry",Italy,Vegetables,387700.0,2518.919921875
113,1961,"Broad beans, horse beans, dry",Morocco,Vegetables,60000.0,3998.719970703125
114,1961,"Broad beans, horse beans, dry",Netherlands,Vegetables,3491.0,597.1079711914062
115,1961,"Broad beans, horse beans, dry",Portugal,Vegetables,25200.0,11644.099609375
116,1961,"Broad beans, horse beans, dry",Spain,Vegetables,112900.0,2749.2900390625
117,1961,"Broad beans, horse beans, dry",Turkey,Vegetables,50000.0,1374.5799560546875
118,1961,Buckwheat,Austria,Cereals,256.0,
